OBJECTID,COM,NOMBRE,DIRECCION,REGION,PROVINCIA,SUPERFICIE,PROPIEDAD_,DETALLE_PR,ROL,USO_AREA_V,DETALLE_US,AGNO_APERT,COSTO_CONS,FUENTE_FIN,DETALLE_FU,ADMINISTRA,DETALLE_AD,COSTO_ANUA,SUMINISTRO,DETALLE_RI,CONEXION_R,BAÑOS_ASI,BAÑOS_TRA,NIVEL_CONS,TIPO_ACCES,COSTO_INGR,JUEGOS_INF,CANCHA_FUT,MULTICANCH,MAQUINAS_E,ZONA_PICNI,OTROS_EQUI,ESTACIONAM,BAÑO_DISC,RUTA_ACCES,JUEGOS_ACC,OBSERVACIO,Programa,Shape_Length,Shape_Area
1,Huara,CAMPING DE PISAGUA,PISAGUA S/N,1,14,18751.51688274,MIXTO,CONCESIÓN MARÍTIMA,No hay Registro,No,AGRÍCOLA,1993,38000000,GORE,No Hay Registro,MUNICIPAL, ,3300000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,No,No,No,No,No,"COMEDOR, ESTACIONAMIENTO IN SITU NO FORMALIZADO",No,No,No,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Parques Urbanos,705.202467995264,18751.5168827448
2,Iquique,PARQUE BALMACEDA,AVENIDA ARTURO PRAT ENTRE CALLE J. J. PEREZ Y CALLE J. M. CARRERA,1,11,18885.47080634,MUNICIPAL, ,No hay Registro,Sí, ,2006,1900000000,GORE, ,MUNICIPAL, ,110796000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,"CICLOVÍA, PERGOLA",No,No,No,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Parques Urbanos,1269.87768663755,18885.4708063389
3,Iquique,PARQUE CAVANCHA,AVENIDA ARTURO PRAT ENTRE CALLE J. M. CARRERA Y AVENIDA TADEO HAENKE,1,11,142838.11989897,MUNICIPAL, ,No hay Registro,Sí, ,2000,1144000000,MIXTO,"Municipal, GORE",MUNICIPAL, ,172884,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"PLAYA INCLUSIVA, CICLOVÍA, PARQUE TEMATICO DE ANIMALES EXOTICOS",Sí,No,Sí,No,EL COSTO DE MANTENCIÓN INFORMADO ES DE ACUERDO AL CATASTRO DE PARQUES AÑO 2012,Parques Urbanos,2966.72714509459,142838.119898966
4,Iquique,PARQUE PLAYA BRAVA,AVENIDA ARTURO PRAT (ENTRE STA. COLOMA DE FAMES Y AVENIDA RAMON PEREZ OPAZO),1,11,85479.2427847,B.N.U.P, ,No hay Registro,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No, ,Sí,No, , , ,Parques Urbanos,5341.41455099619,85479.2427846952
5,Pozo Almonte,PARQUE DEL NIÑO,CALLE CASCADA INTERSECTA CON CALLE COMERCIO,1,14,7483.72786336,MUNICIPAL, ,No hay Registro,No,EQUIPAMIENTO,2005,77573789,GORE, ,MUNICIPAL, ,27726980,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,No,SKATE PARK,No,Sí,Sí,No,"EL AÑO DE APERTURA ES APROXIMADO, EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EL AÑO 2014. NO POSEEMOS REGISTROS DEL ROL.",Parques Urbanos,367.334373536475,7483.72786336237
6,Pozo Almonte,PLAZA LAS DUNAS,CALLE PAMPA GERMANIA INTERSECTA CON CALLE NEBRASKA,1,14,5621.67413428,MUNICIPAL, ,No hay Registro,Sí, ,1997,25497690,GORE, ,MUNICIPAL, ,8175152,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,Sí,Sí,No, ,No,No,Sí,No,"EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EN EL AÑO 2008, EL AÑO DE APERTURA ES APROXIMADO. NO HAY REGISTRO DEL ROL.",Parques Urbanos,327.009019263307,5621.67413428059
7,Pozo Almonte,PLAZA PABLO NERUDA,CALLE ALDUNATE INTERSECTA CON PASAJE SAN ISIDRO,1,14,6707.65735986,MUNICIPAL, ,No hay Registro,Sí, ,2002,56884200,GORE, ,MUNICIPAL, ,13692682,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,Sí,No,"EL COSTO DE CONSTRUCCIÓN ES DE UN MEJORAMIENTO REALIZADO EL 2008, EL AÑO DE APERTURA ES APROXIMADO. NO HAY REGISTROS DEL ROL.",Parques Urbanos,333.875724574945,6707.65735986389
8,Alto Hospicio,PLAZA LAS AMÉRICAS,AVENIDA LAS AMÉRICAS,1,11,5551.27603291,B.N.U.P, ,No hay Registro,Sí, ,2016,408336000,GORE, ,MUNICIPAL, ,17000000,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,MESAS DE AJEDREZ,No,No,Sí,No, ,Parques Urbanos,341.436996789112,5551.27603290653
9,Alto Hospicio,PLAZA DE ARMAS,LOS ALAMOS CON AVENIDA RAMÓN PEREZ OPAZO,1,11,5572.50078019,B.N.U.P, ,No hay Registro,Sí, ,0,0,GORE, ,MUNICIPAL, ,17000000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,No,No,"NO SE TIENE CONOCIMIENTO DEL AÑO DE CONSTRUCCIÓN, YA QUE SE CONSTITUIA LA COMUNA DE ALTO HOSPICIO, TAMPOCO EL COSTO DE CONSTRUCCIÓN.",Parques Urbanos,302.52901332656,5572.50078018849
10,Mejillones,PLAZA DIAGONAL O'HIGGINS,CALLE GUIDO FLEMING PEREZ,2,21,7116.88713842,B.N.U.P, , ,Sí, ,2010,414408000,GORE, ,MUNICIPAL, ,735750,CAMION ALJIBE, ,No,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,NINGUNO,Sí,No,No,No, ,Parques Urbanos,683.743484901988,7116.88713842125
