Comuna,Total cantidad personas x comuna proyección 2021,Niños (0-15) x comuna proyección 2021,Cantidad de superficie comuna X m2 2021, superficie de AAVV  2018,Superficie AAVVm2 por cantidad habitante (0-15 años)
BUIN,111934,23953,214000000,603984.88,25.21541686
CALERA DE TANGO,29019,5835,73300000,29946.03,5.13213882
CERRILLOS,89520,17299,21000000,1176964.65,68.03657148
CERRO NAVIA,142304,26810,11000000,786372.48,29.33131220
COLINA,185599,47279,971200000,1115239.62,23.58847734
CONCHALÍ,139394,24695,10700000,417852,16.92051022
EL BOSQUE,171789,33279,14200000,329261.04,9.89395835
EL MONTE,40620,8778,118000000,108909.92,12.40714514
ESTACIÓN CENTRAL,214470,34211,15000000,533763.86,15.60211219
HUECHURABA,114453,25584,44800000,1061523.43,41.49169129
INDEPENDENCIA,147655,23527,7000000,155440.97,6.60691843
ISLA DE MAIPO,40803,8637,189000000,72272.67,8.36779785
LA CISTERNA,101126,17063,10000000,160366.5,9.39849382
LA FLORIDA,405185,70660,70200000,1375949.93,19.47282663
LA GRANJA,122028,22486,10000000,848111.12,37.71729610
LA PINTANA,189454,42430,30600000,611122.67,14.40307966
LA REINA,100459,17356,23000000,1296980.73,74.72809000
LAMPA,131436,33065,452000000,555319.97,16.79479722
LAS CONDES,335296,49356,99000000,1432747.4,29.02883945
LO BARNECHEA,126816,29288,1024000000,1567804.34,53.53060434
LO ESPEJO,103381,19425,7000000,430503.44,22.16233925
LO PRADO,104405,18007,7000000,306691.98,17.03181985
MACUL,136278,21665,12900000,480763.06,22.19077129
MAIPÚ,584053,108454,135500000,2847701.93,26.25723284
ÑUÑOA,255823,35833,16900000,508452.16,14.18949460
PADRE HURTADO,76219,16342,80800000,393787.75,24.09666809
PAINE,84379,17763,820000000,173383.58,9.76094016
PEDRO AGUIRRE CERDA,107409,18249,10000000,530088.27,29.04752425
PEÑAFLOR,102667,21714,69000000,393977.81,18.14395367
PEÑALOLÉN,269296,52650,54000000,1367424.45,25.97197436
PIRQUE,31134,6232,445300000,27703.81,4.44541239
PROVIDENCIA,160043,18905,14300000,2121068.62,112.19617138
PUDAHUEL,256607,51888,197000000,1048199.86,20.20119989
PUENTE ALTO,655033,136134,88000000,2492680.23,18.31048988
QUILICURA,261993,57497,58000000,844303.87,14.68431170
QUINTA NORMAL,138904,23149,13000000,398697.29,17.22308912
RECOLETA,193605,33287,16000000,2927155.99,87.93691201
RENCA,161959,33823,24000000,672938.41,19.89588180
SAN BERNARDO,339043,73730,155000000,1202249.04,16.30610389
SAN JOAQUÍN,103871,17033,9700000,462653.8,27.16220278
SAN JOSÉ DE MAIPO,18917,3590,4994800000,43960.58,12.24528691
SAN MIGUEL,136835,21632,10000000,212503.55,9.82357387
SAN RAMÓN,86017,15714,7000000,382813.02,24.36127148
SANTIAGO,517280,58856,22000000,1868007.66,31.73861051
TALAGANTE,82900,17199,126000000,409053.02,23.78353509
TILTIL,21783,4473,653000000,78790.45,17.61467695
VITACURA,97695,17089,28300000,1592903.19,93.21219439
