Nombre de Comuna,Suma de Superficie de parques,Suma de Superficie plazas,Suma de Superficie área verde,Suma de Población comunal urbana,Mediana Superficie de área verde por habitante
BUIN,45638.63,558346.25,603984.88,82267,7.34
CALERA DE TANGO,,29946.03,29946.03,11488,2.61
CERRILLOS,871462.46,305502.19,1176964.65,80710,14.58
CERRO NAVIA,494407.89,291964.59,786372.48,132401,5.94
COLINA,381224.27,734015.35,1115239.62,117839,9.46
CONCHALÍ,76991.65,340860.35,417852,126800,3.3
EL BOSQUE,49151.88,280109.16,329261.04,162415,2.03
EL MONTE,,108909.92,108909.92,29998,3.63
ESTACIÓN CENTRAL,236241.97,297521.89,533763.86,140746,3.79
HUECHURABA,762236.54,299286.88,1061523.43,98500,10.78
INDEPENDENCIA,28486.21,126954.77,155440.97,100059,1.55
ISLA DE MAIPO,,72272.67,72272.67,26910,2.69
LA CISTERNA,31938.75,128427.75,160366.5,89889,1.78
LA FLORIDA,216795.82,1159154.11,1375949.93,366376,3.76
LA GRANJA,596996.89,251114.23,848111.12,116312,7.29
LA PINTANA,137531.24,473591.43,611122.67,176105,3.47
LA REINA,1106184.84,190795.89,1296980.73,92678,13.99
LAMPA,261741.28,293578.69,555319.97,80683,6.88
LAS CONDES,741901.11,690846.3,1432747.4,294480,4.87
LO BARNECHEA,940959.02,626845.32,1567804.34,103092,15.21
LO ESPEJO,201238.88,229264.55,430503.44,98651,4.36
LO PRADO,137939.44,168752.55,306691.98,95901,3.2
MACUL,181618.34,299144.72,480763.06,116249,4.14
MAIPÚ,1055893.43,1791808.5,2847701.93,517393,5.5
ÑUÑOA,208097.92,300354.24,508452.16,208048,2.44
PADRE HURTADO,113837.53,279950.22,393787.75,54922,7.17
PAINE,,173383.58,173383.58,46352,3.74
PEDRO AGUIRRE CERDA,351625.49,178462.78,530088.27,101035,5.25
PEÑAFLOR,199586.29,194391.52,393977.81,82959,4.75
PEÑALOLÉN,582115.03,785309.42,1367424.45,241394,5.66
PIRQUE,,27703.81,27703.81,11514,2.41
PROVIDENCIA,1858109.09,262959.53,2121068.62,141986,14.94
PUDAHUEL,295576.63,752623.24,1048199.86,222754,4.71
PUENTE ALTO,561922,1930758.23,2492680.23,565439,4.41
QUILICURA,126716.16,717587.71,844303.87,209676,4.03
QUINTA NORMAL,259578.6,139118.69,398697.29,109784,3.63
RECOLETA,2666317.59,260838.41,2927155.99,157569,18.58
RENCA,307314.83,365623.58,672938.41,146987,4.58
SAN BERNARDO,314178.1,888070.94,1202249.04,295550,4.07
SAN JOAQUÍN,221092.08,241561.72,462653.8,94325,4.9
SAN JOSÉ DE MAIPO,,43960.58,43960.58,11115,3.96
SAN MIGUEL,100570.05,111933.5,212503.55,107828,1.97
SAN RAMÓN,108191.47,274621.54,382813.02,82602,4.63
SANTIAGO,1553912.95,314094.72,1868007.66,402847,4.64
TALAGANTE,103821.03,305231.98,409053.02,58950,6.94
TILTIL,35408.03,43382.42,78790.45,13057,6.03
VITACURA,1334916.19,257987,1592903.19,85300,18.67
